Date,High,Low,Open,Close,Volume,Adj Close
2019-10-08,577.0,577.0,577.0,577.0,0,577.0
2019-10-09,577.0,577.0,577.0,577.0,0,577.0
2019-10-10,561.0,555.0,561.0,555.0,1510,555.0
2019-10-11,603.0,571.0,596.0,571.0,1620,571.0
2019-10-15,571.0,571.0,571.0,571.0,0,571.0
2019-10-16,571.0,571.0,571.0,571.0,0,571.0
2019-10-17,669.0,620.0,669.0,626.0,3650,626.0
2019-10-18,626.0,586.0,626.0,586.0,20,586.0
2019-10-21,646.0,644.0,646.0,644.0,200,644.0
2019-10-23,649.0,568.0,649.0,610.0,600,610.0
2019-10-24,619.0,619.0,619.0,619.0,30,619.0
2019-10-25,619.0,619.0,619.0,619.0,0,619.0
2019-10-28,639.0,603.0,629.0,603.0,230,603.0
2019-10-29,603.0,603.0,603.0,603.0,0,603.0
2019-10-30,627.0,619.0,627.0,620.0,110,620.0
2019-10-31,650.0,640.0,640.0,650.0,60,650.0
2019-11-01,650.0,620.0,640.0,620.0,110,620.0
2019-11-05,650.0,638.0,640.0,638.0,150,638.0
2019-11-06,638.0,638.0,638.0,638.0,0,638.0
2019-11-07,638.0,638.0,638.0,638.0,0,638.0
2019-11-08,638.0,638.0,638.0,638.0,0,638.0
2019-11-11,638.0,638.0,638.0,638.0,0,638.0
2019-11-12,635.0,625.0,625.0,635.0,120,635.0
2019-11-13,625.0,622.0,625.0,622.0,1710,622.0
2019-11-14,623.0,621.0,623.0,622.0,130,622.0
2019-11-15,623.0,621.0,623.0,622.0,130,622.0
2019-11-18,613.0,613.0,613.0,613.0,10,613.0
2019-11-19,613.0,613.0,613.0,613.0,10,613.0
2019-11-20,620.0,600.0,600.0,619.0,180,619.0
2019-11-21,620.0,600.0,600.0,619.0,180,619.0
2019-11-22,619.0,619.0,619.0,619.0,0,619.0
2019-11-25,619.0,619.0,619.0,619.0,0,619.0
2019-11-26,619.0,619.0,619.0,619.0,0,619.0
2019-11-27,619.0,619.0,619.0,619.0,0,619.0
2019-11-28,645.0,605.0,645.0,605.0,680,605.0
